,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
296,David Benoit,1992,2001,F,6-8,220,"May 9, 1968",University of Alabama,benoida01
297,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland University,bensoke02
298,Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana University,bensoke01
299,Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence College,bentibe01
300,Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette University,bercege01
301,Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",University of Utah,bergega01
302,Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State University,berghla01
303,Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964",San Jose State University,berryri01
304,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's University,berrywa01
305,Davis Bertans,2017,2018,F,6-10,210,"November 12, 1992",,bertada01
306,Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania,beshode01
307,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology,besttr01
308,Patrick Beverley,2013,2018,G,6-1,185,"July 12, 1988",University of Arkansas,beverpa01
309,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University,bhullsi01
310,Wesley Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",University of Connecticut,bialowe01
311,Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green State University,biancal01
312,Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Long Island University,biasaha01
313,Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949","University of California, Los Angeles",bibbyhe01
314,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",University of Arizona,bibbymi01
315,Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",North Carolina State University,biedeed01
316,Andris Biedrins,2005,2014,C,6-11,240,"April 2, 1986",,biedran01
317,Don Bielke,1956,1956,C,6-7,240,,Valparaiso University,bielkdo01
318,Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",University of Pennsylvania,bigelbo01
319,Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne University,billili01
320,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado,billuch01
321,Dave Bing,1967,1978,G,6-3,180,"November 24, 1943",Syracuse University,bingda01
322,Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina Agricultural and Technical State University,biniojo01
323,Khem Birch,2018,2018,C-F,6-9,220,"September 28, 1992","University of Nevada, Las Vegas",birchkh01
324,Jabari Bird,2018,2018,G,6-6,197,"July 3, 1994",University of California,birdja01
325,Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",University of Kentucky,birdje01
326,Larry Bird,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University,birdla01
327,Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",University of Houston,birdsot01
328,Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State University,bishoga01
329,Bismack Biyombo,2012,2018,C-F,6-9,255,"August 28, 1992",,biyombi01
330,Nemanja Bjelica,2016,2018,F,6-10,240,"May 9, 1988",,bjeline01
331,Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana University,blabuw01
332,Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",University of Kansas,blackch01
333,Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's University,blackno01
334,Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991",University of Kansas,blackta01
335,Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State University,blackto01
336,Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State University,blackro01
337,Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University,blackal01
338,Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",University of Wisconsin,blackco01
339,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College,blackja01
340,Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple University,blackna01
341,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",University of Pittsburgh,blairde01
342,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland,blakest01
343,Antonio Blakeney,2018,2018,G,6-4,197,"October 4, 1996",Louisiana State University,blakean01
344,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State University,blalowi01
345,George Blaney,1962,1962,G,6-1,175,"November 12, 1939",College of the Holy Cross,blanege01
346,Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966",University of Texas at Austin,blankla01
347,Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",Louisiana State University,blantri01
348,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",,blatcan01
349,Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967",University of Oklahoma,blaylmo01
350,Eric Bledsoe,2011,2018,G,6-1,205,"December 9, 1989",University of Kentucky,bledser01
351,Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",University of Arizona,blevile01
352,John Block,1967,1976,F-C,6-9,207,"April 16, 1944",University of Southern California,blockjo01
353,Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple University,bloommi01
354,Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",University of Cincinnati,blounco01
355,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh,blounma01
356,Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette University,blueva01
357,Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State University,blumera01
358,Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple University,bobbne01
359,Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",University of Cincinnati,bobbito01
360,Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",University of Dayton,bockhbu01
361,Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",University of Tennessee,boerwto01
362,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky,boganke01
363,Bogdan Bogdanovic,2018,2018,G,6-6,205,"August 18, 1992",,bogdabo01
364,Bojan Bogdanovic,2015,2018,G-F,6-8,216,"April 18, 1989",,bogdabo02
365,Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest University,boguemu01
366,Andrew Bogut,2006,2018,C,7-0,260,"November 28, 1984",University of Utah,bogutan01
367,Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973",Auburn University at Montgomery,bohanet01
368,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,bolma01
369,Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown University,bolgebi01
370,Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State University,bolomjo01
371,Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",University of Minnesota,bolstdo01
372,George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",University of Illinois at Urbana-Champaign,bonsage01
373,Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",University of Louisville,bondph01
374,Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",University of Minnesota,bondwa01
375,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas",boneyde01
376,Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",University of Cincinnati,bonharo01
377,Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis University,bonnean01
378,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",University of Florida,bonnema01
379,Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney University of Pennsylvania,bookebu01
380,Devin Booker,2016,2018,G,6-6,206,"October 30, 1996",University of Kentucky,bookede01
381,Melvin Booker,1996,1997,G,6-1,185,"August 20, 1972",University of Missouri,bookeme01
382,Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson University,booketr01
383,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut,boonejo01
384,Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University,boonero01
385,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University,boothca01
386,Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",University of Maryland,boothke01
387,Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State University,boozebo01
388,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University,boozeca01
389,Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford University,borchcu01
390,Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,bornhja01
391,Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",,borrela01
392,Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple University,borsaik01
393,Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927",University of Denver,borylvi01
394,Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology,boshch01
395,Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State University,bostiji01
396,Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956",University of Maryland,bostola01
397,Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953",University of South Carolina,bosweto01
398,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown University,boumtru01
399,Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan University,bovendo01
400,Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion University,bowdlca01
401,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton",bowenbr01
402,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa,bowenry01
403,Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University,bowento01
404,Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",University of Oklahoma,bowiean01
405,Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",University of Kentucky,bowiesa01
406,Orbie Bowling,1968,1968,C,6-10,215,"March 21, 1939",University of Tennessee,bowlior01
407,Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973",University of Pennsylvania,bowmair01
408,Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State University,bowmana01
409,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado,boycedo01
410,Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",University of Detroit Mercy,boydde01
411,Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State University,boydfr01
412,Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University,boydke01
413,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University,boykiea01
414,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's University,boykoha01
415,Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",University of San Francisco,boynewi01
416,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles",bozemce01
417,Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",University of Tulsa,bracest01
418,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University,brackcr01
419,Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State University,braddga01
420,Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova University,bradlal02
421,Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern University,bradlal01
422,Avery Bradley,2011,2018,G,6-2,180,"November 26, 1990",University of Texas at Austin,bradlav01
423,Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",,bradlbi02
424,Bill Bradley,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton University,bradlbi01
425,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",University of Wyoming,bradlch01
426,Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",University of North Carolina,bradldu01
427,Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois University,bradlji01
428,Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State University,bradljo01
429,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979",Villanova University,bradlmi01
430,Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",Brigham Young University,bradlsh01
431,Tony Bradley,2018,2018,F-C,6-11,240,"January 8, 1998",University of North Carolina,bradlto01
432,Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",,bradtma01
433,Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence College,braggma01
434,Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier University,braggto01
435,A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona,bramlaj01
436,Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland,brancad01
437,Elton Brand,2000,2016,F,6-8,275,"March 11, 1979",Duke University,brandel01
438,Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",University of Oregon,brandte01
439,Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1925",Michigan State University,brannbo01
440,Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",Southern Methodist University,bransbr01
441,Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University,bransje01
442,Jim Brasco,1953,1953,G,6-1,170,"February 3, 1931",New York University,brascji01
443,Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford University,bratzmi01
444,Carl Braun,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate University,braunca01
445,Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",University of Wyoming,breauti01
446,J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University,bremejr01
447,Pete Brennan,1959,1959,F,6-6,205,"September 23, 1936",University of North Carolina,brennpe01
448,Tom Brennan,1955,1955,F,6-3,195,"August 6, 1930",Villanova University,brennto01
449,Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",University of Minnesota,breuera01
450,Corey Brewer,2008,2018,F-G,6-9,186,"March 5, 1986",University of Florida,breweco01
451,Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn University,breweja01
452,Jim Brewer,1974,1982,F-C,6-9,210,"December 3, 1951",University of Minnesota,breweji01
453,Ron Brewer,1979,1986,G,6-4,180,"September 16, 1955",University of Arkansas,brewero01
454,Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas,brewero02
455,Primoz Brezec,2002,2010,C,7-2,252,"October 2, 1979",,brezepr01
456,Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",Louisiana State University,brianfr01
457,Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University,brickfr01
458,Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",University of Louisville,bridgju01
459,Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",University of Kansas,bridgbi01
460,Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston,brighal01
461,Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College,brindau01
462,John Brisker,1970,1975,F-G,6-5,210,"June 15, 1947",University of Toledo,briskjo01
463,Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Polytechnic Institute and State University,bristal01
464,Tyrone Britt,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University,brittty01
465,Wayman Britt,1978,1978,G,6-2,185,"August 31, 1952",University of Michigan,brittwa01
466,Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina,brittmi01
467,Dave Britton,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M University,brittda01
468,Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",University of Washington,brockjo01
469,Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College,brogaji01
470,Malcolm Brogdon,2017,2018,G,6-5,215,"December 11, 1992",University of Virginia,brogdma01
471,Gary Brokaw,1975,1978,G,6-4,178,"January 11, 1954",University of Notre Dame,brokaga01
472,Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University,brookpr01
473,Clarence Brookins,1971,1971,F,6-4,190,,Temple University,brookcl01
474,Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",University of Oregon,brookaa01
475,Dillon Brooks,2018,2018,G-F,6-6,220,"January 22, 1996",University of Oregon,brookdi01
476,Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette,brookke01
477,MarShon Brooks,2012,2014,G-F,6-5,200,"January 26, 1989",Providence College,brookma01
478,Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle University,brookmi01
479,Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","University of California, Irvine",brooksc01
480,Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul University,brownan01
481,Anthony Brown,2016,2017,F-G,6-7,210,"October 10, 1992",Stanford University,brownan02
482,Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University,brownbo01
483,Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984","California State University, Fullerton",brownbo02
484,Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",North Carolina State University,brownch01
485,Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse University,brownda02
486,Darrell Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University,brownda01
487,Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University,brownde01
488,Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign,brownde03
489,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier University,brownde04
490,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio,brownde02
491,Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College,browner01
492,Fred Brown,1972,1984,G,6-3,182,"August 7, 1948",University of Iowa,brownfr01
493,George Brown,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University,brownge01
494,Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine University,brownge02
495,Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville,brownha01
496,Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992",University of Missouri,brownja01
497,Jaylen Brown,2017,2018,F-G,6-7,225,"October 24, 1996",University of California,brownja02
498,John Brown,1974,1980,F,6-7,220,"December 14, 1951",University of Missouri,brownjo01
499,Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College,brownke01
500,Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",,brownkw01
501,Larry Brown,1968,1972,G,5-9,160,"September 14, 1940",University of North Carolina,brownla01
502,Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",University of Wyoming,brownle01
503,Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955","University of Nevada, Las Vegas",brownle02
